iter	Logloss
0	0.6775203151
1	0.6634593254
2	0.6516469008
3	0.6392767346
4	0.6283966252
5	0.6179028845
6	0.6074577597
7	0.5989917841
8	0.5907623978
9	0.5818606262
10	0.5740234749
11	0.5679587772
12	0.5612002882
13	0.5549539203
14	0.5497785385
15	0.5441628673
16	0.5392810533
17	0.5346951787
18	0.5293921722
19	0.5252151957
20	0.5204836293
21	0.5161763759
22	0.5119240728
23	0.5078887939
24	0.504191736
25	0.5014837534
26	0.4990380098
27	0.4962543261
28	0.4938598196
29	0.4913374388
30	0.4891131816
31	0.4867681336
32	0.4844744786
33	0.4820726079
34	0.4800847839
35	0.4769277124
36	0.4751520449
37	0.4728207578
38	0.4703843442
39	0.4686193174
40	0.4672283961
41	0.4658826582
42	0.4641293641
43	0.4632609861
44	0.4622268833
45	0.4613373489
46	0.4597683772
47	0.4582171294
48	0.4566412616
49	0.4551842812
50	0.453823347
51	0.4525460709
52	0.4517886234
53	0.4509629638
54	0.4495710127
55	0.4486616014
56	0.4472226882
57	0.4464670505
58	0.4453676688
59	0.4448230018
60	0.443021747
61	0.4419429912
62	0.4413688987
63	0.4409411846
64	0.439933106
65	0.4392682409
66	0.4380006381
67	0.4372362008
68	0.4366135861
69	0.4357337562
70	0.4350969748
71	0.4339762183
72	0.4334576691
73	0.4329551276
74	0.4317385746
75	0.4312231146
76	0.430775149
77	0.4299585385
78	0.4292940167
79	0.4283644475
80	0.4280425152
81	0.4272399778
82	0.4269295597
83	0.4261638431
84	0.4254201565
85	0.424831835
86	0.4244673715
87	0.4240192499
88	0.4236802801
89	0.4232155892
90	0.422752552
91	0.4223257428
92	0.4217478122
93	0.4214992718
94	0.4208686376
95	0.420383508
96	0.4200317133
97	0.4197461337
98	0.4194487277
99	0.4190914724
100	0.4187344666
101	0.4182942396
102	0.4178558225
103	0.4177209897
104	0.4174116014
105	0.4170564367
106	0.4167898603
107	0.416469769
108	0.416157073
109	0.4158429105
110	0.4155226631
111	0.415228596
112	0.4146013942
113	0.4140645595
114	0.4139159033
115	0.4135321245
116	0.413013388
117	0.4123349804
118	0.4119944816
119	0.411411184
120	0.4111405511
121	0.4108403992
122	0.4106189127
123	0.4101544402
124	0.4100211988
125	0.4098620893
126	0.4095695511
127	0.4092965155
128	0.4091199629
129	0.4085909604
130	0.4082763297
131	0.4079301518
132	0.4076997722
133	0.4068415043
134	0.4066740009
