iter	Passed	Remaining
455	686	6839
456	687	6838
457	689	6836
458	690	6835
459	692	6832
460	693	6832
461	695	6829
462	696	6827
463	698	6825
464	699	6824
465	701	6822
466	702	6821
467	704	6820
468	705	6820
469	707	6818
470	708	6816
471	710	6814
472	711	6813
473	713	6810
474	714	6809
475	716	6808
476	717	6807
477	719	6805
478	720	6804
479	722	6802
480	724	6803
481	725	6802
482	727	6803
483	728	6800
484	730	6798
485	731	6796
486	733	6795
487	734	6792
488	736	6791
489	737	6788
490	739	6787
491	740	6783
492	741	6780
493	743	6779
494	744	6776
495	746	6776
496	747	6775
497	749	6775
498	750	6773
499	752	6772
500	753	6769
501	755	6769
502	756	6766
503	758	6764
504	759	6762
505	761	6761
506	762	6758
507	764	6760
508	766	6759
509	767	6760
510	769	6758
511	770	6758
512	772	6756
513	774	6755
514	775	6753
515	776	6751
516	778	6749
517	779	6748
518	781	6745
519	782	6744
520	784	6741
521	785	6740
522	787	6737
523	788	6736
524	790	6734
525	791	6732
526	792	6729
527	794	6727
528	795	6724
529	797	6723
530	798	6722
531	800	6721
532	801	6719
533	803	6718
534	804	6716
535	806	6715
536	807	6712
537	809	6711
538	810	6709
539	812	6707
540	813	6706
541	815	6705
542	816	6703
543	818	6702
544	819	6700
545	821	6699
546	822	6696
547	824	6695
548	825	6695
549	827	6695
550	829	6694
551	830	6692
552	831	6690
553	833	6689
554	834	6687
555	836	6685
556	837	6682
557	839	6681
558	840	6680
559	842	6679
560	843	6677
561	845	6675
562	846	6673
563	848	6670
564	849	6669
565	851	6667
566	852	6665
567	853	6663
568	855	6661
569	856	6660
570	858	6659
571	859	6656
572	861	6655
573	862	6653
574	864	6653
575	865	6651
576	867	6650
577	868	6648
578	870	6646
579	872	6645
580	873	6645
581	875	6643
582	876	6642
583	878	6640
584	879	6638
585	881	6636
586	882	6635
587	883	6632
588	885	6631
589	886	6628
590	888	6627
591	889	6624
592	891	6622
593	892	6620
594	894	6619
595	895	6616
596	896	6615
597	898	6612
598	899	6611
599	901	6609
600	902	6608
601	904	6606
602	905	6605
603	907	6603
604	909	6603
605	910	6601
606	911	6600
607	913	6598
608	915	6598
609	916	6597
610	918	6596
611	919	6594
612	921	6593
613	922	6590
614	924	6589
615	925	6587
616	927	6585
617	928	6582
618	929	6581
619	931	6579
620	932	6578
621	934	6576
622	935	6574
623	937	6572
624	938	6570
625	940	6568
626	941	6567
627	943	6565
628	944	6564
629	945	6561
630	947	6560
631	949	6559
632	950	6559
633	952	6557
634	953	6556
635	955	6554
636	956	6553
637	958	6551
638	959	6549
639	961	6547
640	962	6546
641	964	6544
642	965	6543
643	967	6541
644	968	6540
645	970	6539
646	971	6538
647	973	6536
648	974	6535
649	976	6532
650	977	6531
651	979	6529
652	980	6528
653	982	6526
654	983	6525
655	985	6523
656	986	6521
657	987	6519
658	989	6518
659	990	6516
660	992	6514
661	993	6512
662	995	6512
663	997	6510
664	998	6509
665	999	6506
666	1001	6505
667	1002	6503
668	1004	6501
669	1005	6498
670	1007	6497
671	1008	6495
672	1010	6494
673	1011	6492
674	1013	6490
675	1014	6488
676	1015	6487
677	1017	6485
678	1018	6483
679	1020	6481
680	1021	6480
681	1023	6477
682	1024	6477
683	1026	6475
684	1027	6474
685	1029	6472
686	1030	6471
687	1032	6469
688	1033	6468
689	1035	6466
690	1036	6464
691	1038	6462
692	1039	6461
693	1041	6460
694	1042	6460
695	1044	6458
696	1045	6456
697	1047	6455
698	1048	6453
699	1050	6452
700	1051	6450
701	1053	6448
702	1054	6446
703	1056	6444
704	1057	6445
705	1059	6445
706	1061	6444
707	1063	6444
708	1064	6443
709	1066	6442
710	1067	6440
711	1069	6439
712	1070	6437
713	1072	6436
714	1073	6434
715	1075	6433
716	1076	6431
717	1078	6430
718	1079	6429
719	1081	6428
720	1082	6426
721	1084	6426
722	1085	6424
723	1087	6423
724	1088	6421
725	1090	6419
726	1092	6418
727	1093	6417
728	1094	6415
729	1096	6413
730	1097	6411
731	1099	6410
732	1100	6408
733	1102	6407
734	1103	6405
735	1105	6403
736	1106	6402
737	1108	6400
738	1109	6398
739	1111	6397
740	1112	6394
741	1114	6393
742	1115	6391
743	1117	6390
744	1118	6389
745	1120	6388
746	1121	6386
747	1123	6385
748	1124	6383
749	1126	6381
750	1127	6379
751	1129	6378
752	1130	6377
753	1132	6377
754	1134	6376
755	1135	6374
756	1136	6372
757	1138	6371
758	1139	6369
759	1141	6368
760	1142	6365
761	1144	6364
762	1145	6362
763	1147	6362
764	1149	6361
765	1150	6361
766	1152	6360
767	1154	6359
768	1155	6358
769	1157	6356
770	1158	6356
771	1160	6354
772	1162	6355
773	1163	6353
774	1165	6352
775	1166	6350
776	1168	6349
777	1169	6347
778	1171	6345
779	1172	6343
780	1174	6342
781	1175	6340
782	1177	6339
783	1178	6337
784	1180	6337
785	1181	6335
786	1183	6334
787	1184	6332
788	1186	6331
789	1187	6329
790	1189	6328
791	1190	6325
792	1192	6325
793	1193	6324
794	1195	6323
795	1197	6321
796	1198	6320
797	1199	6318
798	1201	6317
799	1202	6315
800	1204	6314
801	1205	6312
802	1207	6310
803	1208	6308
804	1210	6307
805	1211	6305
806	1213	6303
807	1214	6301
808	1216	6300
809	1217	6299
810	1219	6298
811	1220	6296
812	1222	6295
813	1223	6293
814	1225	6294
815	1227	6292
816	1228	6292
817	1230	6290
818	1231	6289
819	1233	6286
820	1234	6285
821	1236	6283
822	1237	6282
823	1239	6280
824	1240	6278
825	1242	6276
826	1243	6274
827	1244	6272
828	1246	6271
829	1247	6269
830	1249	6268
831	1250	6266
832	1252	6264
833	1253	6262
834	1255	6261
835	1256	6259
836	1258	6258
837	1259	6255
838	1261	6255
839	1262	6253
840	1264	6251
841	1265	6250
842	1267	6249
843	1268	6248
844	1270	6247
845	1272	6246
846	1273	6245
847	1275	6243
848	1276	6242
849	1278	6240
850	1279	6238
851	1281	6236
852	1282	6236
853	1284	6235
854	1286	6234
855	1287	6234
856	1289	6234
857	1291	6233
858	1292	6232
859	1294	6230
860	1295	6229
861	1297	6228
862	1298	6226
863	1300	6225
864	1301	6223
865	1303	6222
866	1304	6220
867	1306	6218
868	1307	6217
869	1309	6215
870	1310	6214
871	1312	6212
872	1314	6211
873	1315	6209
874	1316	6208
875	1318	6206
876	1319	6205
877	1321	6204
878	1323	6203
879	1324	6202
880	1326	6201
881	1327	6199
882	1329	6197
883	1330	6195
884	1332	6194
885	1333	6192
886	1335	6190
887	1336	6188
888	1338	6187
889	1339	6186
890	1341	6184
891	1342	6183
892	1343	6181
893	1345	6179
894	1346	6177
895	1348	6175
896	1349	6173
897	1351	6173
898	1352	6171
899	1354	6170
900	1356	6169
901	1357	6167
902	1359	6166
903	1360	6165
904	1361	6162
905	1363	6161
906	1365	6160
907	1366	6158
908	1368	6157
909	1369	6155
910	1371	6154
911	1372	6152
912	1373	6150
913	1375	6148
914	1376	6147
915	1378	6144
916	1379	6143
917	1381	6141
918	1382	6140
919	1384	6138
920	1385	6137
921	1387	6136
922	1388	6134
923	1390	6132
924	1391	6130
925	1393	6129
926	1394	6127
927	1396	6126
928	1397	6125
929	1399	6124
930	1400	6122
931	1402	6121
932	1403	6119
933	1405	6118
934	1406	6116
935	1408	6115
936	1409	6113
937	1411	6112
938	1413	6111
939	1414	6109
940	1416	6109
941	1417	6107
942	1419	6106
943	1420	6104
944	1422	6103
945	1423	6101
946	1425	6100
947	1426	6098
948	1428	6097
949	1429	6095
950	1431	6093
951	1432	6092
952	1434	6091
953	1435	6089
954	1437	6087
955	1438	6086
956	1440	6084
957	1441	6083
958	1443	6081
959	1445	6081
960	1446	6079
961	1448	6078
962	1449	6076
963	1450	6074
964	1452	6072
965	1453	6070
966	1455	6068
967	1456	6067
968	1458	6066
969	1459	6065
970	1461	6063
971	1462	6062
972	1464	6060
973	1465	6058
974	1467	6057
975	1468	6055
976	1470	6053
977	1471	6052
978	1473	6050
979	1474	6049
980	1476	6047
981	1477	6045
982	1479	6044
983	1480	6042
984	1481	6040
985	1483	6039
986	1484	6037
987	1486	6036
988	1487	6033
989	1489	6032
990	1490	6030
991	1492	6030
992	1494	6028
993	1495	6027
994	1497	6025
995	1498	6024
996	1499	6022
997	1501	6021
998	1502	6019
999	1504	6017
1000	1505	6015
1001	1507	6014
1002	1508	6012
1003	1510	6010
1004	1511	6008
1005	1512	6006
1006	1514	6005
1007	1515	6003
1008	1517	6003
1009	1519	6002
1010	1521	6002
1011	1522	6001
1012	1524	6001
1013	1526	5999
1014	1527	5998
1015	1529	5996
1016	1530	5995
1017	1532	5994
1018	1534	5994
1019	1536	5993
1020	1537	5992
1021	1539	5991
1022	1541	5990
1023	1542	5988
1024	1543	5987
1025	1545	5986
1026	1547	5985
1027	1548	5983
1028	1550	5982
1029	1551	5981
1030	1553	5980
1031	1554	5978
1032	1556	5977
1033	1557	5975
1034	1559	5974
1035	1560	5972
1036	1562	5971
1037	1563	5969
1038	1565	5968
1039	1566	5966
1040	1568	5964
1041	1569	5963
1042	1571	5961
1043	1572	5959
1044	1574	5958
1045	1575	5956
1046	1577	5954
1047	1578	5952
1048	1579	5950
1049	1581	5948
1050	1582	5947
1051	1584	5945
1052	1585	5943
1053	1587	5942
1054	1588	5940
1055	1590	5938
1056	1591	5937
1057	1592	5935
1058	1594	5933
1059	1595	5931
1060	1597	5930
1061	1598	5928
1062	1600	5927
1063	1601	5925
1064	1603	5924
1065	1604	5922
1066	1606	5921
1067	1607	5919
1068	1609	5917
1069	1610	5916
1070	1612	5915
1071	1613	5913
1072	1615	5912
1073	1616	5910
1074	1618	5909
1075	1619	5907
1076	1621	5906
1077	1622	5904
1078	1624	5902
1079	1625	5900
1080	1627	5899
1081	1628	5897
1082	1630	5896
1083	1631	5894
1084	1633	5893
1085	1634	5891
1086	1636	5890
1087	1637	5888
1088	1639	5886
1089	1640	5885
1090	1642	5884
1091	1643	5882
1092	1645	5881
1093	1646	5879
1094	1648	5877
1095	1649	5876
1096	1651	5874
1097	1652	5873
1098	1654	5871
1099	1655	5869
1100	1657	5868
1101	1658	5867
1102	1660	5865
1103	1661	5864
1104	1663	5862
1105	1664	5861
1106	1666	5859
1107	1667	5857
1108	1669	5855
1109	1670	5854
1110	1672	5853
1111	1673	5852
1112	1675	5851
1113	1677	5850
1114	1678	5848
1115	1680	5847
1116	1681	5845
1117	1682	5843
1118	1684	5841
1119	1685	5840
1120	1687	5838
1121	1688	5836
1122	1690	5835
1123	1691	5833
1124	1693	5832
1125	1694	5829
1126	1695	5828
1127	1697	5826
1128	1698	5824
1129	1700	5823
1130	1701	5821
1131	1703	5819
1132	1704	5818
1133	1706	5816
1134	1707	5815
1135	1709	5813
1136	1710	5811
1137	1711	5809
1138	1713	5808
1139	1715	5807
1140	1716	5805
1141	1718	5804
1142	1719	5802
1143	1721	5802
1144	1722	5800
1145	1724	5798
1146	1725	5797
1147	1727	5795
1148	1728	5793
1149	1730	5792
1150	1731	5790
1151	1733	5788
1152	1734	5787
1153	1736	5786
1154	1737	5784
1155	1739	5783
1156	1741	5782
1157	1742	5781
1158	1744	5780
1159	1745	5778
1160	1747	5777
1161	1748	5776
1162	1750	5775
1163	1751	5773
1164	1753	5773
1165	1755	5771
1166	1756	5770
1167	1758	5768
1168	1759	5767
1169	1761	5766
1170	1763	5765
1171	1764	5764
1172	1766	5763
1173	1767	5761
1174	1769	5760
1175	1770	5758
1176	1772	5757
1177	1773	5755
1178	1775	5753
1179	1776	5751
1180	1778	5751
1181	1780	5749
1182	1781	5748
1183	1782	5746
1184	1784	5744
1185	1785	5743
1186	1787	5741
1187	1788	5739
1188	1790	5738
1189	1792	5737
1190	1793	5735
1191	1795	5735
1192	1796	5733
1193	1798	5732
1194	1799	5730
1195	1801	5728
1196	1802	5727
1197	1804	5725
1198	1805	5724
1199	1807	5722
1200	1808	5721
1201	1810	5719
1202	1811	5718
1203	1813	5717
1204	1814	5715
1205	1816	5714
1206	1817	5713
1207	1819	5711
1208	1820	5709
1209	1822	5708
1210	1823	5706
1211	1825	5704
1212	1826	5703
1213	1828	5701
1214	1829	5700
1215	1831	5700
1216	1833	5698
1217	1834	5697
1218	1836	5695
1219	1837	5694
1220	1839	5692
1221	1840	5691
1222	1842	5689
1223	1843	5688
1224	1845	5686
1225	1846	5685
1226	1848	5683
1227	1849	5682
1228	1851	5680
1229	1852	5678
1230	1854	5677
1231	1855	5676
1232	1857	5674
1233	1858	5673
1234	1860	5671
1235	1861	5669
1236	1863	5667
1237	1864	5666
1238	1866	5664
1239	1867	5663
1240	1869	5661
1241	1871	5661
1242	1872	5660
1243	1874	5659
1244	1875	5657
1245	1877	5656
1246	1878	5655
1247	1880	5653
1248	1881	5651
1249	1883	5650
1250	1884	5648
1251	1886	5647
1252	1887	5645
1253	1889	5644
1254	1891	5643
1255	1892	5641
1256	1894	5640
1257	1895	5638
1258	1897	5637
1259	1898	5635
1260	1900	5634
1261	1901	5632
1262	1903	5631
1263	1904	5629
1264	1906	5627
1265	1907	5626
1266	1909	5624
1267	1910	5623
1268	1912	5621
1269	1913	5619
1270	1914	5618
1271	1916	5616
1272	1917	5614
1273	1919	5614
1274	1921	5613
1275	1922	5611
1276	1924	5610
1277	1925	5608
1278	1927	5607
1279	1928	5605
1280	1930	5604
1281	1931	5602
1282	1933	5601
1283	1934	5599
1284	1936	5598
1285	1937	5596
1286	1939	5595
1287	1940	5593
1288	1942	5592
1289	1943	5590
1290	1945	5589
1291	1947	5587
1292	1948	5586
1293	1949	5584
1294	1951	5583
1295	1952	5581
1296	1954	5579
1297	1955	5577
1298	1957	5576
1299	1958	5574
1300	1960	5573
1301	1961	5572
1302	1963	5570
1303	1964	5568
1304	1966	5567
1305	1967	5565
1306	1969	5564
1307	1970	5562
1308	1972	5561
1309	1973	5559
1310	1975	5558
1311	1976	5556
1312	1978	5555
1313	1979	5553
1314	1981	5552
1315	1982	5550
1316	1984	5549
1317	1986	5548
1318	1987	5547
1319	1989	5546
1320	1990	5544
1321	1992	5543
1322	1993	5541
1323	1995	5540
1324	1997	5539
1325	1998	5537
1326	2000	5536
1327	2001	5533
1328	2003	5533
1329	2004	5531
1330	2006	5529
1331	2007	5527
1332	2008	5526
1333	2010	5525
1334	2012	5523
1335	2013	5522
1336	2015	5520
1337	2016	5518
1338	2018	5517
1339	2019	5515
1340	2021	5514
1341	2022	5512
1342	2023	5511
1343	2025	5509
1344	2026	5508
1345	2028	5506
1346	2030	5505
1347	2031	5503
1348	2033	5502
1349	2034	5500
1350	2036	5499
1351	2037	5497
1352	2039	5496
1353	2040	5494
1354	2041	5493
1355	2043	5491
1356	2045	5490
1357	2046	5488
1358	2047	5486
1359	2049	5485
1360	2051	5483
1361	2052	5482
1362	2053	5480
1363	2055	5478
1364	2056	5476
1365	2058	5475
1366	2059	5474
1367	2061	5472
1368	2063	5471
1369	2064	5470
1370	2066	5469
1371	2067	5467
1372	2069	5466
1373	2070	5464
1374	2072	5463
1375	2073	5461
1376	2075	5461
1377	2077	5459
1378	2078	5458
1379	2080	5456
1380	2081	5454
1381	2082	5453
1382	2084	5451
1383	2085	5449
1384	2087	5448
1385	2088	5446
1386	2090	5445
1387	2091	5443
1388	2093	5442
1389	2094	5440
1390	2096	5438
1391	2097	5436
1392	2099	5435
1393	2100	5433
1394	2102	5432
1395	2103	5430
1396	2105	5429
1397	2106	5428
1398	2108	5426
1399	2109	5424
1400	2111	5423
1401	2112	5421
1402	2114	5419
1403	2115	5418
1404	2116	5416
1405	2118	5414
1406	2119	5413
1407	2121	5411
1408	2122	5410
1409	2124	5408
1410	2125	5407
1411	2127	5405
1412	2129	5404
1413	2130	5402
1414	2131	5401
1415	2133	5399
1416	2134	5398
1417	2136	5396
1418	2137	5395
1419	2139	5393
1420	2140	5392
1421	2142	5390
1422	2143	5388
1423	2145	5387
1424	2146	5385
1425	2148	5383
1426	2149	5382
1427	2151	5381
1428	2152	5379
1429	2154	5378
1430	2155	5376
1431	2157	5374
1432	2158	5373
1433	2160	5371
1434	2161	5370
1435	2163	5368
1436	2164	5366
1437	2166	5365
1438	2167	5363
1439	2169	5362
1440	2170	5361
1441	2172	5359
1442	2173	5358
1443	2175	5356
1444	2176	5354
1445	2178	5353
1446	2179	5351
1447	2181	5350
1448	2182	5348
1449	2184	5347
1450	2185	5345
1451	2186	5343
1452	2188	5342
1453	2189	5340
1454	2191	5339
1455	2193	5338
1456	2194	5336
1457	2196	5335
1458	2197	5333
1459	2199	5332
1460	2200	5330
1461	2202	5329
1462	2203	5327
1463	2205	5326
1464	2206	5324
1465	2208	5323
1466	2209	5321
1467	2212	5324
1468	2214	5323
1469	2216	5321
1470	2217	5320
1471	2219	5318
1472	2220	5317
1473	2222	5315
1474	2223	5314
1475	2225	5312
1476	2226	5311
1477	2228	5309
1478	2230	5309
1479	2231	5307
1480	2233	5306
1481	2234	5304
1482	2236	5303
1483	2237	5301
1484	2239	5299
1485	2240	5298
1486	2241	5296
1487	2243	5295
1488	2245	5294
1489	2246	5292
1490	2248	5291
1491	2249	5289
1492	2251	5287
1493	2252	5286
1494	2254	5285
1495	2255	5283
1496	2257	5282
1497	2259	5281
1498	2260	5280
1499	2262	5278
1500	2263	5277
1501	2265	5275
1502	2266	5274
1503	2268	5272
1504	2269	5271
1505	2271	5269
1506	2272	5268
1507	2274	5267
1508	2276	5265
1509	2277	5264
1510	2279	5262
1511	2280	5261
1512	2282	5259
1513	2283	5258
1514	2285	5256
1515	2286	5254
1516	2287	5253
1517	2289	5251
1518	2290	5250
1519	2292	5248
1520	2294	5247
1521	2295	5246
1522	2297	5244
1523	2298	5243
1524	2300	5241
1525	2301	5240
1526	2303	5238
1527	2305	5238
1528	2306	5237
1529	2308	5235
1530	2310	5234
1531	2311	5232
1532	2313	5231
1533	2314	5229
1534	2316	5228
1535	2317	5226
1536	2319	5225
1537	2320	5223
1538	2322	5222
1539	2323	5220
1540	2325	5219
1541	2326	5217
1542	2328	5216
1543	2329	5214
1544	2331	5212
1545	2332	5211
1546	2334	5209
1547	2335	5208
1548	2337	5206
1549	2338	5204
1550	2340	5203
1551	2341	5201
1552	2343	5200
1553	2344	5199
1554	2346	5197
1555	2347	5196
1556	2349	5195
1557	2350	5193
1558	2352	5192
1559	2354	5191
1560	2355	5189
1561	2357	5187
1562	2358	5186
1563	2360	5184
1564	2361	5183
1565	2362	5181
1566	2364	5179
1567	2365	5178
1568	2367	5176
1569	2368	5175
1570	2370	5173
1571	2371	5172
1572	2373	5170
1573	2374	5169
1574	2376	5167
1575	2377	5166
1576	2379	5164
1577	2380	5162
1578	2382	5161
1579	2384	5160
1580	2385	5159
1581	2387	5157
1582	2388	5156
1583	2390	5154
1584	2391	5153
1585	2393	5151
1586	2394	5150
1587	2396	5148
1588	2397	5147
1589	2399	5146
1590	2400	5144
1591	2402	5142
1592	2403	5140
1593	2405	5139
1594	2406	5137
1595	2408	5136
1596	2409	5134
1597	2411	5132
1598	2412	5131
1599	2414	5130
1600	2415	5128
1601	2417	5126
1602	2418	5125
1603	2420	5123
1604	2421	5121
1605	2422	5120
1606	2424	5118
1607	2425	5117
1608	2427	5115
1609	2428	5114
1610	2430	5112
1611	2431	5111
1612	2433	5110
1613	2435	5108
1614	2436	5107
1615	2438	5105
1616	2439	5104
1617	2441	5102
1618	2442	5101
1619	2444	5100
1620	2445	5098
1621	2447	5096
1622	2448	5095
1623	2450	5094
1624	2452	5093
1625	2453	5091
1626	2455	5090
1627	2456	5088
1628	2458	5087
1629	2459	5085
1630	2461	5084
1631	2463	5083
1632	2464	5082
1633	2466	5080
1634	2467	5079
1635	2469	5077
1636	2470	5075
1637	2472	5074
1638	2473	5073
1639	2475	5071
1640	2476	5069
1641	2478	5068
1642	2479	5066
1643	2481	5065
1644	2482	5064
1645	2484	5062
1646	2486	5061
1647	2487	5059
1648	2489	5058
1649	2490	5056
1650	2491	5054
1651	2493	5053
1652	2494	5051
1653	2496	5050
1654	2497	5048
1655	2499	5046
1656	2500	5045
1657	2502	5043
1658	2503	5042
1659	2505	5040
1660	2506	5039
1661	2508	5037
1662	2509	5035
1663	2511	5034
1664	2512	5032
1665	2514	5031
1666	2515	5030
1667	2517	5028
1668	2518	5026
1669	2520	5025
1670	2521	5024
1671	2523	5022
1672	2524	5021
1673	2526	5019
1674	2528	5018
1675	2529	5016
1676	2531	5015
1677	2532	5013
1678	2534	5012
1679	2535	5010
1680	2537	5009
1681	2538	5007
1682	2540	5006
1683	2541	5004
1684	2543	5003
1685	2544	5001
1686	2546	5000
1687	2547	4998
1688	2549	4997
1689	2550	4995
1690	2552	4994
1691	2553	4992
1692	2555	4991
1693	2556	4989
1694	2558	4987
1695	2559	4986
1696	2561	4984
1697	2562	4983
1698	2564	4981
1699	2565	4980
1700	2566	4978
1701	2568	4976
1702	2570	4975
1703	2571	4973
1704	2572	4972
1705	2574	4970
1706	2575	4969
1707	2577	4967
1708	2578	4966
1709	2580	4964
1710	2581	4963
1711	2583	4961
1712	2584	4959
1713	2586	4958
1714	2587	4956
1715	2589	4955
1716	2590	4953
1717	2592	4951
1718	2593	4950
1719	2595	4948
1720	2596	4947
1721	2598	4945
1722	2599	4944
1723	2601	4942
1724	2602	4941
